url,text
https://www.apartments.com/san-francisco-ca/,"Isle House
39 Bruton St, San Francisco, CA 94130
Virtual Tours
Studio
$3,557
1 Bed
$3,647+
2 Beds+
$4,587+
Total Monthly Price
SPECIALS

Pets Allowed Fitness Center In Unit Washer & Dryer High-Speed Internet Controlled Access Concierge Rooftop Deck

(628) 210-3053
Email"
https://www.apartments.com/san-francisco-ca/,"399 Fremont
375-399 Fremont St, San Francisco, CA 94105
Videos
Virtual Tours
Studio
$3,534+
1 Bed
$4,532+
2 Beds
$6,276+

Pets Allowed Fitness Center Pool Balcony High-Speed Internet Stainless Steel Appliances

(510) 822-8932
Email"
https://www.apartments.com/san-francisco-ca/,"Parkmerced Apartments
3711 19th Ave, San Francisco, CA 94132
Videos
Virtual Tours
1 Bed
$2,450+
2 Beds
$3,150+
3 Beds
$4,695+
SPECIALS

Pets Allowed Fitness Center Clubhouse Maintenance on site Business Center Elevator

(650) 761-9527
Email"
https://www.apartments.com/san-francisco-ca/,"Channel Mission Bay
185 Channel St, San Francisco, CA 94158
Videos
Virtual Tours
Studio
$3,659+
1 Bed
$4,162+
2 Beds
$6,164+

Pets Allowed Fitness Center Pool Kitchen In Unit Washer & Dryer Walk-In Closets

(510) 288-9715
Email"
https://www.apartments.com/san-francisco-ca/,"The Civic
101-103 Polk St, San Francisco, CA 94102
Videos
Virtual Tours
Studio
$2,997+
1 Bed
$3,109+
2 Beds
$3,833+
SPECIALS

Pets Allowed Fitness Center Dishwasher Refrigerator Kitchen In Unit Washer & Dryer Walk-In Closets

(510) 422-4157
Email"
https://www.apartments.com/san-francisco-ca/,"150 Van Ness
150 Van Ness Ave, San Francisco, CA 94102
Virtual Tours
Studio
$2,795+
1 Bed
$3,200+
2 Beds+
$4,100+

Pets Allowed Fitness Center Pool Dishwasher Refrigerator Kitchen In Unit Washer & Dryer

(415) 818-9936
Email"
https://www.apartments.com/san-francisco-ca/,"HQ
1532 Harrison St, San Francisco, CA 94103
Videos
Virtual Tours
Studio
$2,855+
2 Beds
$3,871+

Pets Allowed Fitness Center Dishwasher Kitchen In Unit Washer & Dryer Balcony Range

(510) 272-7239
Email"
https://www.apartments.com/san-francisco-ca/,"Hanover Soma West
1140 Harrison St, San Francisco, CA 94103
Videos
Virtual Tours
Studio
$2,893+
1 Bed
$3,541+
2 Beds+
$3,826+
SPECIALS

Pets Allowed Pool Dishwasher Refrigerator Kitchen In Unit Washer & Dryer

(415) 855-2423
Email"
https://www.apartments.com/san-francisco-ca/,"Lakewood Apartments At Lake Merced
515 John Muir Dr, San Francisco, CA 94132
Videos
Virtual Tours
Studio
$2,328+
1 Bed
$2,549+
2 Beds
$4,099+

Fitness Center Pool Dishwasher Refrigerator Kitchen Walk-In Closets

(650) 870-2375
Email"
https://www.apartments.com/san-francisco-ca/,"Edgewater
355 Berry St, San Francisco, CA 94158
Videos
Virtual Tours
Studio
$3,807
1 Bed
$4,176+

Pets Allowed Fitness Center Kitchen In Unit Washer & Dryer Walk-In Closets Balcony High-Speed Internet

(510) 306-7527
Email"
https://www.apartments.com/san-francisco-ca/,"2000 Post
1777 Steiner St, San Francisco, CA 94115
Videos
Virtual Tours
Studio
$3,399+
1 Bed
$3,939+
2 Beds
$5,127+

Pets Allowed Fitness Center Pool Walk-In Closets High-Speed Internet Stainless Steel Appliances Ceiling Fans

(510) 694-4010
Email"
